
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
559	2682	1627	573
560	869	2979	1926
561	3054	1997	942
562	2726	1673	616
563	352	2464	1409
564	2890	1835	778
565	3141	2086	1031
566	1958	905	3015
567	2447	1392	337
568	1847	794	2904
569	1536	479	2589
570	2443	1386	331
571	2700	1643	588
572	2865	1810	755
573	1926	871	2981
574	2200	1145	90
575	1401	344	2458
576	1050	3160	2106
577	2314	1257	202
578	1990	933	3045
579	1639	584	2694
580	2563	1508	453
581	1962	905	3019
582	1802	747	2859
583	605	2715	1658
584	1555	500	2610
585	1688	541	2651
586	1602	545	2657
587	322	2432	1379
588	2687	1630	575
589	2559	1506	447
590	2405	1350	295
591	2205	1150	95
592	39	2150	1095
593	4952	729	2839
594	1244	189	2300
595	592	2704	1649
596	1236	181	2291
597	1193	140	2248
598	2891	1836	779
599	1097	42	2154
600	3148	2093	1036
601	3055	2000	945
602	545	2657	1602
603	44	2154	1099
604	1556	501	2613
605	2454	1399	344
606	2194	1139	85
607	2118	1063	8
608	929	3041	1986
609	2681	1628	571
610	830	2940	1886
611	1979	922	3034
612	276	2388	1333
613	1861	806	2918
614	1435	380	2490
615	156	2266	1211
616	2143	1087	32
617	1944	889	2999
618	2477	1422	369
619	2568	1513	458
620	1012	3122	2067
621	2494	1441	386
622	1418	363	2475
623	2180	1127	68
624	2248	1193	138
625	1536	485	2593
626	643	2753	1698
627	83	2193	1140
628	740	2850	1795
629	3163	2106	1051
630	650	2762	1707
631	1737	682	2792
632	243	2353	1298
633	2205	1150	95
634	2243	1186	131
635	779	2891	1836
636	2147	1092	35
637	549	2663	1606
638	3135	2080	1025
639	23	2137	1078
640	1926	871	2983
641	2653	1600	541
642	759	2869	1814
643	2099	1031	3141
644	1668	611	2723
645	3054	1999	942
646	2342	1287	234
647	80	2190	1135
648	699	2811	1756
649	500	2610	1555
650	311	2333	1278
651	1050	3161	2106
652	2263	1210	153
653	841	2955	1898
654	2136	1081	26
655	417	2527	1472
656	1249	194	2306
657	1925	868	2980
658	474	2584	1531
659	323	2435	1384
660	1360	301	2413
661	390	2502	1447
662	2796	1739	684
663	2658	1603	548
664	608	2722	1665
665	2827	1771	716
666	2436	1381	326
667	2239	1184	129
668	26	2136	1081
669	2244	1189	136
670	1638	583	2693
671	1444	385	2497
672	947	3058	2002
673	2657	1604	547
674	1008	3116	2061
675	603	2715	1660
676	331	2443	1388
677	984	3094	2039
678	104	2214	1159
679	395	2505	1450
680	687	2797	1742
681	793	2903	1848
682	1495	440	2552
683	1041	3151	2096
684	886	2996	1941
685	2338	1279	224
686	680	2790	1737
687	138	2250	1193
688	1812	757	2869
689	3105	2046	991
690	897	3007	1952
691	1077	22	2134
692	3000	1945	892
693	2743	1690	633
694	803	2915	1860
695	1812	753	2865
696	2901	1844	789
697	3092	2035	980
698	2018	961	3073
699	200	2308	1253
700	461	2573	1516
701	2910	1855	798
702	487	2597	1542
703	1240	185	2295
704	1644	589	2699
705	2584	1529	474
706	2255	1198	145
707	588	2698	1645
708	1944	889	3001
709	1265	210	2320
710	3027	1970	915
711	980	3090	2037
712	2059	1004	3116
713	1345	290	2401
714	1339	284	2396
715	2760	1707	650
716	1726	671	2781
717	1454	395	2509
718	3163	2108	1053
719	2850	1797	740
720	224	2334	1279
721	2395	1340	285
722	902	3012	1960
723	1602	549	2659
724	2842	1787	734
725	818	2928	1873
726	2743	1687	632
727	685	2795	1742
728	1208	153	2265
729	2809	1754	699
730	1140	85	2197
731	1418	362	2473
732	153	2263	1208
733	1055	3165	2110
734	2664	1609	554
735	1893	838	2949
736	2961	1906	851
737	3002	1945	890
738	1594	539	2649
739	1073	16	2128
740	2788	1733	678
741	2689	1634	579
742	644	2754	1701
743	2711	1658	601
744	1041	3116	2061
745	503	2615	1560
746	2951	1896	841
747	1437	378	2490
748	1313	260	2370
749	140	2250	1195
750	2248	1189	134
751	3056	1999	944
752	192	2302	1247
753	1300	247	2355
754	2139	1082	26
755	186	2296	1240
756	1416	361	2471
757	1651	596	2706
758	1036	3145	2090
759	2005	950	3062
760	236	2346	1293
761	597	2707	1652
762	902	3010	1955
763	2653	1598	543
764	318	2430	1375
765	899	3013	1956
766	1084	26	2138
767	2128	1073	17
768	27	2139	1082
769	1193	138	2250
770	2409	1354	299
771	2865	1808	753
772	969	3081	2024
773	1144	87	2199
774	2968	1913	858
775	16	2129	1073
776	1136	81	2193
777	903	3013	1958
778	2793	1736	681
779	2325	1270	213
780	33	2143	1090
781	2908	1851	796
782	1931	878	2986
783	2798	1743	688
784	1634	579	2689
785	1296	241	2353
786	742	2855	1799
787	2153	1096	41
788	1941	884	2996
789	849	2960	1904
790	641	2751	1696
791	2044	989	3101
792	1647	590	2702
793	1952	895	3009
794	1797	740	2852
795	968	3080	2025
796	2857	1802	745
797	2338	1283	228
798	2112	1057	3169
799	2642	1587	532
800	123	2233	1178
801	1544	489	2603
802	350	2458	1403
803	1800	743	2855
804	899	3007	1952
805	1330	277	2385
806	1285	228	2341
807	571	2683	1628
808	207	2317	1262
809	1447	412	2503
810	48	2158	1103
811	766	2878	1823
812	1195	140	2252
813	1559	504	2616
814	1654	599	2711
815	2067	1012	3122
816	3169	2112	1057
817	2456	1399	348
818	1938	881	2993
819	1491	436	2546
820	89	2203	1148
821	1142	87	2197
822	683	2793	1738
823	1006	3116	2061
824	1960	902	3013
825	301	2413	1358
826	2052	997	3107
827	3003	1948	893
828	3008	1955	898
829	851	2961	1906
830	1332	277	2388
831	746	2857	1802
832	233	2343	1290
833	2700	1645	588
834	1743	689	2799
835	1244	189	2299
836	2007	952	3067
837	2861	1806	753
838	2237	1180	123
839	1990	937	3047
840	977	3088	2033
841	633	2743	1688
842	2413	1354	297
843	1988	931	3043
844	1605	550	2660
845	489	2603	1544
846	1017	3127	2070
847	2488	1433	378
848	130	2242	1187
849	794	2904	1849
850	2269	1218	159
851	1321	269	2377
852	2196	1141	86
853	399	2514	1493
854	1902	845	2957
855	1628	571	2681
856	389	2501	1446
857	522	2631	1576
858	251	2359	1302
859	1553	496	2610
860	4035	4013	3995
861	118	76	96
862	2135	25	1084
863	121	1180	2231
864	1376	2431	319
865	2565	453	1510
866	1748	2803	693
867	2839	729	1784
868	1373	2428	318
869	383	1440	2495
870	278	1333	2422
871	2499	389	1444
872	843	1898	2955
873	2463	340	1416
874	1294	2349	237
875	2800	671	1739
876	2885	766	1823
877	764	1819	2878
878	2353	238	1297
879	1713	2738	637
880	2065	3120	1010
881	599	1654	2707
882	2284	172	1229
883	1498	2550	440
884	1294	2351	241
885	63	1122	2175
886	1634	2674	560
887	2356	244	1301
888	1815	2874	760
889	3171	1059	2114
890	3069	963	2014
891	1547	2602	492
892	2809	693	1748
893	213	1268	2325
894	980	2035	3092
895	1729	2784	674
896	920	1977	3032
897	232	1290	2345
898	714	1771	2826
899	2923	815	1868
900	1538	2597	483
901	2884	774	1829
902	3110	1000	2057
903	1084	2139	31
904	1692	2747	637
905	1095	2150	40
906	2030	3085	975
907	2105	3162	1053
908	2260	153	1205
909	1082	2137	29
910	1038	2091	3146
911	1705	2760	650
912	2169	61	1114
913	2033	3088	978
914	440	1493	2548
915	2113	5	1056
916	1311	2364	256
917	2005	3077	955
918	1924	2975	862
919	448	1504	2558
920	3013	901	1958
921	391	1450	2516
922	1184	2239	130
923	596	1653	2711
924	1448	2501	395
925	1053	2108	3163
926	3000	887	1943
927	348	1395	2450
928	14	1069	2128
929	693	1754	2807
930	895	1945	3000
931	2751	641	1696
932	644	1697	2752
933	1618	2670	558
934	2242	138	1187
935	800	1855	2910
936	1538	2593	483
937	224	1281	2336
938	629	1688	2739
939	2292	182	1238
940	1249	2304	198
941	2494	384	1439
942	1471	2526	416
943	2201	91	1146
944	1780	2833	723
945	1900	2955	845
946	2960	854	1905
947	181	1236	2291
948	633	1695	2745
949	1407	2464	350
950	1202	2259	153
951	2603	491	1552
952	1069	2126	14
953	1553	2608	498
954	2062	3117	1007
955	2069	3126	1014
956	2427	315	1372
957	179	1234	2291
958	421	1478	2533
959	112	1167	2226
960	335	1390	2447
961	1792	2847	737
962	3137	1029	2082
963	1209	2264	154
964	72	1127	2182
965	481	1538	2593
966	2998	886	1941
967	1236	2291	185
968	2130	20	1075
969	2147	84	1096
970	2018	3075	963
971	1783	2838	726
972	2561	451	1506
973	1227	2282	174
974	873	1928	3017
975	562	1619	2674
976	1333	2385	276
977	3089	979	2034
978	2310	200	1255
979	1621	2676	566
980	1093	2150	38
981	2120	8	1065
982	2689	579	1634
983	3133	1023	2078
984	1141	2196	86
985	3032	918	1975
986	1784	2839	731
987	2402	292	1349
988	1878	2933	824
989	1498	2546	436
990	2893	783	1838
991	2074	3129	1019
992	2497	387	1442
993	1490	2550	436
994	2927	819	1872
995	1014	2072	3126
996	28	1081	2138
997	1527	2582	472
998	2771	659	1716
999	1910	2965	855
